x(t-1), y(t-1), x(t), y(t), theta1(t-1), theta2(t-1), theta1(t), theta2(t), training
-1.529278,-0.06676912,-1.019548,-0.1797737,70,60,70,45,true
-1.019548,-0.1797737,-1,-0.267949,70,45,65,45,true
-1,-0.267949,-0.9728417,-0.3540852,65,45,55,45,true
-0.9728417,-0.3540852,-0.9386432,-0.4367453,55,45,55,45,true
-0.9386432,-0.4367453,-0.8972945,-0.5163913,55,45,50,45,true
-0.8972945,-0.5163913,-0.8490726,-0.5923453,50,45,45,45,true
-0.8490726,-0.5923453,-0.7943277,-0.6639584,45,45,40,45,true
-0.7943277,-0.6639584,-0.733479,-0.7306201,40,45,35,45,true
-0.733479,-0.7306201,-0.6670113,-0.791766,35,45,30,45,true
-0.6670113,-0.791766,-0.5954654,-0.8468874,30,45,25,45,true
-0.5954654,-0.8468874,-1.036351,-1.126554,25,45,25,60,true
-1.036351,-1.126554,-1.534597,-1.28258,25,60,25,75,true
-1.534597,-1.28258,-2.056249,-1.304336,25,75,25,90,true
-2.056249,-1.304336,-2.565756,-1.190336,25,90,25,105,true
-2.565756,-1.190336,-3.028396,-0.9483516,25,105,25,105,true
-3.028396,-0.9483516,-2.934422,-1.208188,25,105,20,105,true
-2.934422,-1.208188,-2.818038,-1.45918,20,105,15,105,true
-2.818038,-1.45918,-2.68014,-1.699234,15,105,10,105,true
-2.68014,-1.699234,-2.521842,-1.926359,10,105,5,105,true
-2.521842,-1.926359,-2.004354,-1.995636,5,105,5,90,true
-2.004354,-1.995636,-1.486568,-1.928615,5,90,5,75,true
-1.486568,-1.928615,-1.003773,-1.729867,5,75,5,75,true
-1.003773,-1.729867,-1.150722,-1.6358,5,75,10,75,true
-1.150722,-1.6358,-1.288912,-1.529283,10,75,15,75,true
-1.288912,-1.529283,-1.417293,-1.411127,15,75,20,75,true
-1.417293,-1.411127,-1.534888,-1.282232,20,75,25,75,true
-1.534888,-1.282232,-1.640801,-1.143579,25,75,30,75,true
-1.640801,-1.143579,-1.734227,-0.9962219,30,75,35,75,true
-1.734227,-0.9962219,-1.813759,-0.8427796,35,75,40,75,true
-1.813759,-0.8427796,-1.879935,-0.6825293,40,75,45,75,true
-1.879935,-0.6825293,-1.932096,-0.5167248,45,75,50,75,true
-1.932096,-0.5167248,-1.969722,-0.3466914,50,75,55,75,true
-1.969722,-0.3466914,-1.992433,-0.1738093,55,75,60,75,true
-1.992433,-0.1738093,-2,0.00050354,60,75,65,75,true
-2,0.00050354,-1.99239,0.1743119,65,75,70,75,true
-1.99239,0.1743119,-2,4.887581E-06,70,75,65,75,true
-2,4.887581E-06,-2.414213,0.3178432,65,75,65,75,true
-2.414213,0.3178432,-2.732049,0.7320573,65,75,65,90,true
-2.732049,0.7320573,-2.931849,1.21442,65,90,65,105,true
-2.931849,1.21442,-3.026377,0.9547753,65,105,60,105,true
-3.026377,0.9547753,-3.098037,0.6875479,60,105,55,105,true
-3.098037,0.6875479,-3.146172,0.4149191,55,105,50,105,true
-3.146172,0.4149191,-3.170362,0.1391306,50,105,45,105,true
-3.170362,0.1391306,-3.41134,0.6022973,45,105,45,135,true
-3.41134,0.6022973,-3.524231,1.112051,45,135,45,135,true
-3.524231,1.112051,-3.50134,1.633655,45,135,45,165,true
-3.50134,1.633655,-3.344229,2.13156,45,165,45,180,true
-3.344229,2.13156,-3.063603,2.571836,45,180,45,195,true
-3.063603,2.571836,-2.678589,2.924478,45,195,45,195,true
-2.678589,2.924478,-2.923133,2.680057,45,195,40,195,true
-2.923133,2.680057,-3.145592,2.415091,40,195,35,195,true
-3.145592,2.415091,-3.344119,2.131732,35,195,30,195,true
-3.344119,2.131732,-3.517187,1.83216,30,195,25,195,true
-3.517187,1.83216,-3.66349,1.518637,25,195,20,195,true
-3.66349,1.518637,-3.863421,1.036329,20,195,20,180,true
-3.863421,1.036329,-3.931711,0.5187094,20,180,20,180,true
-3.931711,0.5187094,-3.863704,0.001052618,20,180,20,165,true
-3.863704,0.001052618,-3.664035,-0.481364,20,165,20,135,true
-3.664035,-0.481364,-3.608138,-0.7988749,20,135,15,135,true
-3.608138,-0.7988749,-3.524778,-1.110313,15,135,10,135,true
-3.524778,-1.110313,-3.139937,-1.463146,10,135,10,135,true
-3.139937,-1.463146,-2.67689,-1.704352,10,135,10,105,true
-2.67689,-1.704352,-2.167192,-1.817494,10,105,10,90,true
-2.167192,-1.817494,-1.645577,-1.794861,10,90,10,75,true
-1.645577,-1.794861,-1.147595,-1.637995,10,75,10,60,true
-1.147595,-1.637995,-0.7071805,-1.357587,10,60,10,60,true
-0.7071805,-1.357587,-0.822811,-1.290786,10,60,15,60,true
-0.822811,-1.290786,-0.9321795,-1.214162,15,60,20,60,true
-0.9321795,-1.214162,-1.034453,-1.128296,20,60,25,60,true
-1.034453,-1.128296,-1.128854,-1.033844,25,60,30,60,true
-1.128854,-1.033844,-1.213889,-0.932534,30,60,30,60,true
-1.213889,-0.932534,-1.290087,-0.8239065,30,60,35,60,true
-1.290087,-0.8239065,-1.356749,-0.708788,35,60,40,60,true
-1.356749,-0.708788,-1.413261,-0.5880811,40,60,45,60,true
-1.413261,-0.5880811,-1.459112,-0.4627521,45,60,50,60,true
-1.459112,-0.4627521,-1.493891,-0.3338226,50,60,55,60,true
-1.493891,-0.3338226,-1.5173,-0.2023535,55,60,60,60,true
-1.5173,-0.2023535,-1.999998,-0.003364563,60,60,60,75,true
-1.999998,-0.003364563,-2.414746,0.3137755,60,75,60,90,true
-2.414746,0.3137755,-2.73328,0.7274542,60,90,60,105,true
-2.73328,0.7274542,-2.933891,1.209479,60,105,60,120,true
-2.933891,1.209479,-3.002911,1.727003,60,120,60,135,true
-3.002911,1.727003,-2.935633,2.244754,60,135,60,135,true
-2.935633,2.244754,-3.119015,1.982071,60,135,55,135,true
-3.119015,1.982071,-3.279332,1.703773,55,135,50,135,true
-3.279332,1.703773,-3.415114,1.41204,50,135,45,135,true
-3.415114,1.41204,-3.525125,1.109215,45,135,40,135,true
-3.525125,1.109215,-3.608385,0.7977588,40,135,35,135,true
-3.608385,0.7977588,-3.663903,0.4823627,35,135,35,135,true
-3.663903,0.4823627,-3.732051,1.000001,35,135,35,150,true
-3.732051,1.000001,-3.663903,1.517639,35,150,35,180,true
-3.663903,1.517639,-3.464102,2.000001,35,180,35,180,true
-3.464102,2.000001,-3.146265,2.414215,35,180,35,195,true
-3.146265,2.414215,-2.73205,2.732052,35,195,35,225,true
-2.73205,2.732052,-2.249689,2.931852,35,225,35,225,true
-2.249689,2.931852,-2.495749,2.725453,35,225,30,225,true
-2.495749,2.725453,-2.723374,2.498018,30,225,25,225,true
-2.723374,2.498018,-2.930602,2.251318,25,225,20,225,true
-2.930602,2.251318,-3.115665,1.987333,20,225,15,225,true
-3.115665,1.987333,-3.277018,1.70822,15,225,10,225,true
-3.277018,1.70822,-3.62996,1.32348,10,225,10,210,true
-3.62996,1.32348,-3.871299,0.8605013,10,210,10,195,true
-3.871299,0.8605013,-3.984585,0.3508351,10,195,10,180,true
-3.984585,0.3508351,-3.962101,-0.1707854,10,180,10,165,true
-3.962101,-0.1707854,-3.805377,-0.668813,10,165,10,150,true
-3.805377,-0.668813,-3.525095,-1.109307,10,150,10,135,true
-3.525095,-1.109307,-3.140355,-1.46225,10,135,10,120,true
-3.140355,-1.46225,-2.677376,-1.703588,10,120,10,105,true
-2.677376,-1.703588,-2.16771,-1.816875,10,105,10,90,true
-2.16771,-1.816875,-1.64609,-1.794391,10,90,10,75,true
-1.64609,-1.794391,-1.796217,-1.644096,10,75,15,75,true
-1.796217,-1.644096,-1.931443,-1.482894,15,75,15,75,true
-1.931443,-1.482894,-2.052608,-1.310056,15,75,20,75,true
-2.052608,-1.310056,-2.158599,-1.126897,20,75,25,75,true
-2.158599,-1.126897,-2.248444,-0.9348533,25,75,30,75,true
-2.248444,-0.9348533,-2.321324,-0.7354624,30,75,35,75,true
-2.321324,-0.7354624,-2.37659,-0.530349,35,75,40,75,true
-2.37659,-0.530349,-2.413769,-0.3211987,40,75,45,75,true
-2.413769,-0.3211987,-2.828425,-0.003938675,45,75,45,90,true
-2.828425,-0.003938675,-3.146839,0.4098327,45,90,45,120,true
-3.146839,0.4098327,-3.347311,0.8919158,45,120,45,135,true
-3.347311,0.8919158,-3.257497,1.178438,45,135,50,135,true
-3.257497,1.178438,-3.142886,1.456803,50,135,55,135,true
-3.142886,1.456803,-3.004251,1.724669,55,135,60,135,true
-3.004251,1.724669,-2.842618,1.979779,60,135,65,135,true
-2.842618,1.979779,-2.659254,2.219993,65,135,70,135,true
-2.659254,2.219993,-2.455649,2.443316,70,135,75,135,true
-2.455649,2.443316,-2.257063,2.92618,75,135,75,150,true
-2.257063,2.92618,-1.940269,3.341192,75,150,75,165,true
-1.940269,3.341192,-1.526857,3.660072,75,165,75,180,true
-1.526857,3.660072,-1.044999,3.861086,75,180,75,195,true
-1.044999,3.861086,-0.5275341,3.930537,75,195,75,210,true
-0.5275341,3.930537,-0.009725572,3.863691,75,210,75,225,true
-0.009725572,3.863691,0.4731367,3.665107,75,225,75,225,true
0.4731367,3.665107,0.152097,3.692388,75,225,70,225,true
0.152097,3.692388,-0.1702981,3.691593,70,225,65,225,true
-0.1702981,3.691593,-0.482362,3.663903,65,225,65,225,true
-0.482362,3.663903,-1,3.732052,65,225,65,210,true
-1,3.732052,-1.517638,3.663903,65,210,65,195,true
-1.517638,3.663903,-2,3.464102,65,195,65,180,true
-2,3.464102,-2.414214,3.146265,65,180,65,165,true
-2.414214,3.146265,-2.732051,2.732052,65,165,65,150,true
-2.732051,2.732052,-2.931852,2.24969,65,150,65,135,true
-2.931852,2.24969,-2.724627,2.49665,65,135,65,135,true
-2.724627,2.49665,-2.837631,1.986921,65,135,65,120,true
-2.837631,1.986921,-2.814855,1.465313,65,120,65,105,true
-2.814855,1.465313,-2.657854,0.9673729,65,105,65,90,true
-2.657854,0.9673729,-2.377327,0.5270352,65,90,65,75,true
-2.377327,0.5270352,-1.992391,0.1743081,65,75,65,75,true
-1.992391,0.1743081,-2.000002,0.0003296137,65,75,65,75,true
-2.000002,0.0003296137,-1.992429,-0.1738725,65,75,60,75,true
-1.992429,-0.1738725,-1.969694,-0.3468627,60,75,55,75,true
-1.969694,-0.3468627,-1.931967,-0.5172114,55,75,50,75,true
-1.931967,-0.5172114,-2.414285,-0.3173037,50,75,50,90,true
-2.414285,-0.3173037,-2.828428,0.0006251335,50,90,50,105,true
-2.828428,0.0006251335,-3.146174,0.4149091,50,105,50,120,true
-3.146174,0.4149091,-3.345869,0.8973155,50,120,50,135,true
-3.345869,0.8973155,-3.413902,1.414968,50,135,50,150,true
-3.413902,1.414968,-3.345639,1.932592,50,150,50,165,true
-3.345639,1.932592,-3.145732,2.41491,50,165,50,180,true
-3.145732,2.41491,-2.827802,2.829052,50,180,50,195,true
-2.827802,2.829052,-2.413518,3.146798,50,195,50,210,true
