timestamp,x,y,z,g,raw_x,raw_y,raw_z
1435295162916,1.25,2.4375,0.3125,2.757093125014097,1.25,-2.4375,0.3125
1435295163115,0.0625,-1,-0.5625,1.1490485194281397,0.0625,1,-0.5625
1435295163315,-3.4375,2.0625,-0.4375,4.032582144234635,-3.4375,-2.0625,-0.4375
1435295163513,-1.0625,1,0.25,1.4803399102908763,-1.0625,-1,0.25
1435295163711,0.5625,1.9375,-0.0625,2.018469407744393,0.5625,-1.9375,-0.0625
1435295163911,0.0625,-0.4375,-0.4375,0.6218671481916375,0.0625,0.4375,-0.4375
1435295164109,-1.25,1.375,-1.375,2.311655251113366,-1.25,-1.375,-1.375
1435295164309,-0.125,0.9375,0.8125,1.2468710839537502,-0.125,-0.9375,0.8125
1435295164507,-1.0625,2.4375,0.1875,2.6656085140170154,-1.0625,-2.4375,0.1875
1435295164710,0.25,1.25,0.125,1.2808688457449497,0.25,-1.25,0.125
1435295165104,0.1875,0.8125,-2.375,2.5171288207002833,0.1875,-0.8125,-2.375
1435295165106,1.75,1.3125,0.375,2.219410113070588,1.75,-1.3125,0.375
1435295165302,1.125,1.875,0.3125,2.2088246308840365,1.125,-1.875,0.3125
1435295165699,0.4375,2,0.5625,2.1231609689328788,0.4375,-2,0.5625
1435295165701,0.125,0.6875,-0.25,0.7421463804398698,0.125,-0.6875,-0.25
1435295165898,-3.25,1.125,-0.4375,3.466919562089666,-3.25,-1.125,-0.4375
1435295166096,-0.5625,2.4375,0.5625,2.564023937095752,-0.5625,-2.4375,0.5625
1435295166295,0.875,2.375,0.375,2.55868618630734,0.875,-2.375,0.375
1435295166494,0.0625,0,-0.25,0.2576941016011038,0.0625,0,-0.25
1435295166693,-4,0.9375,-0.5,4.138708282785826,-4,-0.9375,-0.5
1435295167090,-0.5625,2.5,0.375,2.5897936693875825,-0.5625,-2.5,0.375
1435295167092,0.875,2.4375,0.3125,2.608579594338651,0.875,-2.4375,0.3125
1435295167487,0.1875,-0.8125,-0.25,0.8705242673240075,0.1875,0.8125,-0.25
1435295167489,-3.9375,2.25,-0.8125,4.607229373495528,-3.9375,-2.25,-0.8125
1435295167686,-1.25,1.25,0.5,1.8371173070873836,-1.25,-1.25,0.5
1435295167885,0.75,1.8125,-0.4375,2.009741898851691,0.75,-1.8125,-0.4375
1435295168084,-0.25,-0.9375,-0.4375,1.0643366478704002,-0.25,0.9375,-0.4375
1435295168282,-1.875,1.125,0.375,2.218529918662356,-1.875,-1.125,0.375
